,Drug_1,Drug_2,Correlation
41,17-AAG (Tanespimycin),Ibrutinib (PCI-32765),-1840.0
42,17-AAG (Tanespimycin),Idelalisib,-1308.0
43,17-AAG (Tanespimycin),Imatinib,-405.0
44,17-AAG (Tanespimycin),INK-128,-1067.0
45,17-AAG (Tanespimycin),JAK Inhibitor I,-1551.0
46,17-AAG (Tanespimycin),JNJ-28312141,-891.0
47,17-AAG (Tanespimycin),JNJ-38877605,-540.0
48,17-AAG (Tanespimycin),JNJ-7706621,-760.0
49,17-AAG (Tanespimycin),JQ1,-1110.0
50,17-AAG (Tanespimycin),KI20227,-1676.0
51,17-AAG (Tanespimycin),KU-55933,-211.0
52,17-AAG (Tanespimycin),KW-2449,-694.0
53,17-AAG (Tanespimycin),Lapatinib,-1402.0
54,17-AAG (Tanespimycin),Lenalidomide,-618.0
55,17-AAG (Tanespimycin),Lenvatinib,-1283.0
56,17-AAG (Tanespimycin),Lestaurtinib (CEP-701),-1279.0
57,17-AAG (Tanespimycin),Linifanib (ABT-869),-1734.0
58,17-AAG (Tanespimycin),Lovastatin,-1120.0
59,17-AAG (Tanespimycin),LY-333531,-557.0
60,17-AAG (Tanespimycin),Masitinib (AB-1010),-647.0
61,17-AAG (Tanespimycin),MGCD-265,-1127.0
62,17-AAG (Tanespimycin),Midostaurin,-909.0
63,17-AAG (Tanespimycin),MK-2206,-1254.0
64,17-AAG (Tanespimycin),MLN120B,-2207.0
65,17-AAG (Tanespimycin),MLN8054,-1190.0
66,17-AAG (Tanespimycin),Motesanib (AMG-706),-1742.0
67,17-AAG (Tanespimycin),Neratinib (HKI-272),-622.0
68,17-AAG (Tanespimycin),NF-kB Activation Inhibitor,-848.0
69,17-AAG (Tanespimycin),Nilotinib,-1368.0
70,17-AAG (Tanespimycin),Nutlin 3a,-392.0
71,17-AAG (Tanespimycin),NVP-ADW742,-917.0
72,17-AAG (Tanespimycin),NVP-TAE684,-568.0
73,17-AAG (Tanespimycin),Palbociclib,-1078.0
74,17-AAG (Tanespimycin),Panobinostat,-1402.0
75,17-AAG (Tanespimycin),Pazopanib (GW786034),-526.0
76,17-AAG (Tanespimycin),PD173955,-1831.0
77,17-AAG (Tanespimycin),Pelitinib (EKB-569),-735.0
78,17-AAG (Tanespimycin),PHA-665752,-472.0
79,17-AAG (Tanespimycin),PHT-427,-676.0
80,17-AAG (Tanespimycin),PI-103,-1466.0
81,17-AAG (Tanespimycin),PLX-4720,-1596.0
82,17-AAG (Tanespimycin),Ponatinib (AP24534),-1083.0
83,17-AAG (Tanespimycin),PP242,-1233.0
84,17-AAG (Tanespimycin),PRT062607,-2194.0
85,17-AAG (Tanespimycin),Quizartinib (AC220),-1107.0
86,17-AAG (Tanespimycin),RAF265 (CHIR-265),-698.0
87,17-AAG (Tanespimycin),Rapamycin,-1904.0
88,17-AAG (Tanespimycin),Regorafenib (BAY 73-4506),-1394.0
89,17-AAG (Tanespimycin),Roscovitine (CYC-202),-595.0
90,17-AAG (Tanespimycin),Ruxolitinib (INCB018424),-1972.0
91,17-AAG (Tanespimycin),S31-201,-683.0
92,17-AAG (Tanespimycin),Saracatinib (AZD0530),-585.0
93,17-AAG (Tanespimycin),SB-431542,-1597.0
94,17-AAG (Tanespimycin),Selinexor,-195.0
95,17-AAG (Tanespimycin),Selumetinib (AZD6244),-2017.0
96,17-AAG (Tanespimycin),SGX-523,-1358.0
97,17-AAG (Tanespimycin),SNS-032 (BMS-387032),-1659.0
98,17-AAG (Tanespimycin),Sorafenib,-712.0
99,17-AAG (Tanespimycin),SR9011,-777.0
100,17-AAG (Tanespimycin),Staurosporine,-1373.0
101,17-AAG (Tanespimycin),STO609,-1817.0
102,17-AAG (Tanespimycin),SU11274,-1245.0
103,17-AAG (Tanespimycin),Sunitinib,-759.0
104,17-AAG (Tanespimycin),Tandutinib (MLN518),-1028.0
105,17-AAG (Tanespimycin),TG100-115,-1866.0
106,17-AAG (Tanespimycin),TG101348,-916.0
107,17-AAG (Tanespimycin),Tivozanib (AV-951),-1266.0
108,17-AAG (Tanespimycin),Tofacitinib (CP-690550),-2220.0
109,17-AAG (Tanespimycin),Tozasertib (VX-680),-1100.0
110,17-AAG (Tanespimycin),Trametinib (GSK1120212),-2117.0
111,17-AAG (Tanespimycin),Vandetanib (ZD6474),-698.0
112,17-AAG (Tanespimycin),Vargetef,-596.0
113,17-AAG (Tanespimycin),Vatalanib (PTK787),-1255.0
114,17-AAG (Tanespimycin),Vemurafenib (PLX-4032),-492.0
115,17-AAG (Tanespimycin),Venetoclax,-742.0
116,17-AAG (Tanespimycin),Vismodegib (GDC-0449),-1420.0
117,17-AAG (Tanespimycin),Volasertib (BI-6727),-1457.0
118,17-AAG (Tanespimycin),VX-745,-1502.0
119,17-AAG (Tanespimycin),XAV-939,-1727.0
120,17-AAG (Tanespimycin),YM-155,-1361.0
121,A-674563,ABT-737,-1366.0
122,A-674563,Afatinib (BIBW-2992),-1561.0
123,A-674563,Alisertib (MLN8237),-1355.0
124,A-674563,AT7519,-638.0
125,A-674563,Axitinib (AG-013736),-724.0
126,A-674563,AZD1480,-523.0
127,A-674563,Barasertib (AZD1152-HQPA),-1062.0
128,A-674563,Bay 11-7085,-1119.0
129,A-674563,BEZ235,363.0
130,A-674563,BI-2536,-747.0
131,A-674563,BMS-345541,-429.0
132,A-674563,Bortezomib (Velcade),-508.0
133,A-674563,Bosutinib (SKI-606),-597.0
134,A-674563,Cabozantinib,-921.0
135,A-674563,Canertinib (CI-1033),-902.0
136,A-674563,Cediranib (AZD2171),-531.0
137,A-674563,CHIR-99021,-469.0
138,A-674563,CI-1040 (PD184352),-514.0
139,A-674563,Crenolanib,-792.0
140,A-674563,Crizotinib (PF-2341066),-686.0
141,A-674563,CYT387,-979.0
142,A-674563,Dasatinib,-468.0
143,A-674563,DBZ,-1169.0
144,A-674563,Doramapimod (BIRB 796),-813.0
145,A-674563,Dovitinib (CHIR-258),-1205.0
146,A-674563,Elesclomol,-607.0
147,A-674563,Entospletinib (GS-9973),-1370.0
148,A-674563,Entrectinib,-365.0
149,A-674563,Erlotinib,-1651.0
150,A-674563,Flavopiridol,-350.0
151,A-674563,Foretinib (XL880),-993.0
152,A-674563,GDC-0879,-1189.0
153,A-674563,GDC-0941,806.0
154,A-674563,Gefitinib,-1308.0
155,A-674563,Gilteritinib (ASP-2215),-1314.0
156,A-674563,Go6976,837.0
157,A-674563,GSK-1838705A,-1345.0
158,A-674563,GSK-1904529A,-866.0
159,A-674563,GSK690693,1238.0
160,A-674563,GW-2580,-730.0
161,A-674563,Ibrutinib (PCI-32765),-815.0
162,A-674563,Idelalisib,634.0
163,A-674563,Imatinib,-855.0
164,A-674563,INK-128,574.0
165,A-674563,JAK Inhibitor I,-1087.0
166,A-674563,JNJ-28312141,-492.0
167,A-674563,JNJ-38877605,-1348.0
168,A-674563,JNJ-7706621,-1013.0
169,A-674563,JQ1,-475.0
170,A-674563,KI20227,-477.0
171,A-674563,KU-55933,-792.0
172,A-674563,KW-2449,-1580.0
173,A-674563,Lapatinib,-1025.0
174,A-674563,Lenalidomide,-1555.0
175,A-674563,Lenvatinib,-946.0
176,A-674563,Lestaurtinib (CEP-701),-744.0
177,A-674563,Linifanib (ABT-869),-1139.0
178,A-674563,Lovastatin,-515.0
179,A-674563,LY-333531,1170.0
180,A-674563,Masitinib (AB-1010),-796.0
181,A-674563,MGCD-265,-1040.0
182,A-674563,Midostaurin,-1056.0
183,A-674563,MK-2206,505.0
184,A-674563,MLN120B,-978.0
185,A-674563,MLN8054,-919.0
186,A-674563,Motesanib (AMG-706),-693.0
187,A-674563,Neratinib (HKI-272),-1326.0
188,A-674563,NF-kB Activation Inhibitor,-1281.0
189,A-674563,Nilotinib,-712.0
190,A-674563,Nutlin 3a,-1314.0
191,A-674563,NVP-ADW742,-985.0
192,A-674563,NVP-TAE684,-1168.0
193,A-674563,Palbociclib,-1285.0
194,A-674563,Panobinostat,-547.0
195,A-674563,Pazopanib (GW786034),-801.0
196,A-674563,PD173955,-660.0
197,A-674563,Pelitinib (EKB-569),-1032.0
198,A-674563,PHA-665752,-1070.0
199,A-674563,PHT-427,-823.0
200,A-674563,PI-103,426.0
201,A-674563,PLX-4720,-913.0
202,A-674563,Ponatinib (AP24534),-1086.0
203,A-674563,PP242,687.0
204,A-674563,PRT062607,-836.0
205,A-674563,Quizartinib (AC220),-938.0
206,A-674563,RAF265 (CHIR-265),-1030.0
207,A-674563,Rapamycin,384.0
208,A-674563,Regorafenib (BAY 73-4506),-923.0
209,A-674563,Roscovitine (CYC-202),-973.0
210,A-674563,Ruxolitinib (INCB018424),-597.0
211,A-674563,S31-201,-419.0
212,A-674563,Saracatinib (AZD0530),-782.0
213,A-674563,SB-431542,-508.0
214,A-674563,Selinexor,-617.0
215,A-674563,Selumetinib (AZD6244),-441.0
216,A-674563,SGX-523,-1138.0
217,A-674563,SNS-032 (BMS-387032),-412.0
218,A-674563,Sorafenib,-1012.0
219,A-674563,SR9011,-852.0
220,A-674563,Staurosporine,751.0
221,A-674563,STO609,-1086.0
222,A-674563,SU11274,-963.0
223,A-674563,Sunitinib,-999.0
224,A-674563,Tandutinib (MLN518),-440.0
225,A-674563,TG100-115,877.0
226,A-674563,TG101348,-638.0
227,A-674563,Tivozanib (AV-951),-778.0
228,A-674563,Tofacitinib (CP-690550),-436.0
229,A-674563,Tozasertib (VX-680),-860.0
230,A-674563,Trametinib (GSK1120212),-615.0
231,A-674563,Vandetanib (ZD6474),-1417.0
232,A-674563,Vargetef,-987.0
233,A-674563,Vatalanib (PTK787),-989.0
234,A-674563,Vemurafenib (PLX-4032),-1499.0
235,A-674563,Venetoclax,-1440.0
236,A-674563,Vismodegib (GDC-0449),-892.0
237,A-674563,Volasertib (BI-6727),-838.0
238,A-674563,VX-745,-618.0
239,A-674563,XAV-939,-138.0
240,A-674563,YM-155,-358.0
241,ABT-737,Afatinib (BIBW-2992),-749.0
242,ABT-737,Alisertib (MLN8237),-1222.0
243,ABT-737,AT7519,-696.0
244,ABT-737,Axitinib (AG-013736),-1052.0
245,ABT-737,AZD1480,-598.0
246,ABT-737,Barasertib (AZD1152-HQPA),-1038.0
247,ABT-737,Bay 11-7085,-843.0
248,ABT-737,BEZ235,-833.0
249,ABT-737,BI-2536,-306.0
250,ABT-737,BMS-345541,-378.0
251,ABT-737,Bortezomib (Velcade),-398.0
252,ABT-737,Bosutinib (SKI-606),-757.0
253,ABT-737,Cabozantinib,-1125.0
254,ABT-737,Canertinib (CI-1033),-1142.0
255,ABT-737,Cediranib (AZD2171),-531.0
256,ABT-737,CHIR-99021,-371.0
257,ABT-737,CI-1040 (PD184352),-1223.0
258,ABT-737,Crenolanib,-1134.0
259,ABT-737,Crizotinib (PF-2341066),-1096.0
260,ABT-737,CYT387,-967.0
261,ABT-737,Dasatinib,-1062.0
262,ABT-737,DBZ,-1288.0
263,ABT-737,Doramapimod (BIRB 796),-1129.0
264,ABT-737,Dovitinib (CHIR-258),-1717.0
265,ABT-737,Elesclomol,-948.0
266,ABT-737,Entospletinib (GS-9973),-1021.0
267,ABT-737,Entrectinib,-483.0
268,ABT-737,Erlotinib,-1127.0
269,ABT-737,Flavopiridol,-497.0
270,ABT-737,Foretinib (XL880),-1200.0
271,ABT-737,GDC-0879,-1126.0
272,ABT-737,GDC-0941,-770.0
273,ABT-737,Gefitinib,-1119.0
274,ABT-737,Gilteritinib (ASP-2215),-1010.0
275,ABT-737,Go6976,-679.0
276,ABT-737,GSK-1838705A,-1069.0
277,ABT-737,GSK-1904529A,-1195.0
278,ABT-737,GSK690693,-1143.0
279,ABT-737,GW-2580,-1467.0
280,ABT-737,Ibrutinib (PCI-32765),-1258.0
281,ABT-737,Idelalisib,-983.0
282,ABT-737,Imatinib,-572.0
283,ABT-737,INK-128,-614.0
284,ABT-737,JAK Inhibitor I,-1027.0
285,ABT-737,JNJ-28312141,-532.0
286,ABT-737,JNJ-38877605,-1235.0
287,ABT-737,JNJ-7706621,-1182.0
288,ABT-737,JQ1,-707.0
289,ABT-737,KI20227,-796.0
290,ABT-737,KU-55933,-667.0
291,ABT-737,KW-2449,-1130.0
292,ABT-737,Lapatinib,-1820.0
293,ABT-737,Lenalidomide,-1092.0
294,ABT-737,Lenvatinib,-786.0
295,ABT-737,Lestaurtinib (CEP-701),-761.0
296,ABT-737,Linifanib (ABT-869),-1034.0
297,ABT-737,Lovastatin,-1097.0
298,ABT-737,LY-333531,-1334.0
299,ABT-737,Masitinib (AB-1010),-514.0
300,ABT-737,MGCD-265,-1291.0
301,ABT-737,Midostaurin,-1416.0
302,ABT-737,MK-2206,-496.0
303,ABT-737,MLN120B,-1233.0
304,ABT-737,MLN8054,-785.0
305,ABT-737,Motesanib (AMG-706),-841.0
306,ABT-737,Neratinib (HKI-272),-932.0
307,ABT-737,NF-kB Activation Inhibitor,-1163.0
308,ABT-737,Nilotinib,-1111.0
309,ABT-737,Nutlin 3a,-960.0
310,ABT-737,NVP-ADW742,-1328.0
311,ABT-737,NVP-TAE684,-1053.0
312,ABT-737,Palbociclib,-1110.0
313,ABT-737,Panobinostat,-323.0
314,ABT-737,Pazopanib (GW786034),-707.0
315,ABT-737,PD173955,-1063.0
316,ABT-737,Pelitinib (EKB-569),-976.0
317,ABT-737,PHA-665752,-984.0
318,ABT-737,PHT-427,-562.0
319,ABT-737,PI-103,-585.0
320,ABT-737,PLX-4720,-895.0
321,ABT-737,Ponatinib (AP24534),-901.0
322,ABT-737,PP242,-923.0
323,ABT-737,PRT062607,-963.0
324,ABT-737,Quizartinib (AC220),-971.0
325,ABT-737,RAF265 (CHIR-265),-1155.0
326,ABT-737,Rapamycin,-830.0
327,ABT-737,Regorafenib (BAY 73-4506),-1062.0
328,ABT-737,Roscovitine (CYC-202),-995.0
329,ABT-737,Ruxolitinib (INCB018424),-1237.0
330,ABT-737,S31-201,-885.0
331,ABT-737,Saracatinib (AZD0530),-689.0
332,ABT-737,SB-431542,-959.0
333,ABT-737,Selinexor,-651.0
334,ABT-737,Selumetinib (AZD6244),-444.0
335,ABT-737,SGX-523,-1281.0
336,ABT-737,SNS-032 (BMS-387032),-1055.0
337,ABT-737,Sorafenib,-1252.0
338,ABT-737,SR9011,-859.0
339,ABT-737,Staurosporine,-663.0
340,ABT-737,STO609,-1550.0
341,ABT-737,SU11274,-1727.0
342,ABT-737,Sunitinib,-1078.0
343,ABT-737,Tandutinib (MLN518),-594.0
344,ABT-737,TG100-115,-939.0
345,ABT-737,TG101348,-1031.0
346,ABT-737,Tivozanib (AV-951),-1486.0
347,ABT-737,Tofacitinib (CP-690550),-810.0
348,ABT-737,Tozasertib (VX-680),-856.0
349,ABT-737,Trametinib (GSK1120212),-478.0
350,ABT-737,Vandetanib (ZD6474),-1238.0
351,ABT-737,Vargetef,-906.0
352,ABT-737,Vatalanib (PTK787),-1478.0
353,ABT-737,Vemurafenib (PLX-4032),-1247.0
354,ABT-737,Venetoclax,-1237.0
355,ABT-737,Vismodegib (GDC-0449),-941.0
356,ABT-737,Volasertib (BI-6727),-1079.0
357,ABT-737,VX-745,-543.0
358,ABT-737,XAV-939,-917.0
359,ABT-737,YM-155,-605.0
360,Afatinib (BIBW-2992),Alisertib (MLN8237),-1531.0
361,Afatinib (BIBW-2992),AT7519,-284.0
362,Afatinib (BIBW-2992),Axitinib (AG-013736),-545.0
363,Afatinib (BIBW-2992),AZD1480,-983.0
364,Afatinib (BIBW-2992),Barasertib (AZD1152-HQPA),-1168.0
365,Afatinib (BIBW-2992),Bay 11-7085,-1321.0
366,Afatinib (BIBW-2992),BEZ235,-834.0
367,Afatinib (BIBW-2992),BI-2536,-1185.0
368,Afatinib (BIBW-2992),BMS-345541,-1298.0
369,Afatinib (BIBW-2992),Bortezomib (Velcade),-812.0
370,Afatinib (BIBW-2992),Bosutinib (SKI-606),-1139.0
371,Afatinib (BIBW-2992),Cabozantinib,-704.0
372,Afatinib (BIBW-2992),Canertinib (CI-1033),1061.0
373,Afatinib (BIBW-2992),Cediranib (AZD2171),-738.0
374,Afatinib (BIBW-2992),CHIR-99021,-782.0
375,Afatinib (BIBW-2992),CI-1040 (PD184352),-839.0
376,Afatinib (BIBW-2992),Crenolanib,-781.0
377,Afatinib (BIBW-2992),Crizotinib (PF-2341066),-957.0
378,Afatinib (BIBW-2992),CYT387,-1145.0
379,Afatinib (BIBW-2992),Dasatinib,-451.0
380,Afatinib (BIBW-2992),DBZ,-1109.0
381,Afatinib (BIBW-2992),Doramapimod (BIRB 796),-796.0
382,Afatinib (BIBW-2992),Dovitinib (CHIR-258),-926.0
383,Afatinib (BIBW-2992),Elesclomol,-709.0
384,Afatinib (BIBW-2992),Entospletinib (GS-9973),-1604.0
385,Afatinib (BIBW-2992),Entrectinib,-268.0
386,Afatinib (BIBW-2992),Erlotinib,1312.0
387,Afatinib (BIBW-2992),Flavopiridol,-298.0
388,Afatinib (BIBW-2992),Foretinib (XL880),-776.0
389,Afatinib (BIBW-2992),GDC-0879,-944.0
390,Afatinib (BIBW-2992),GDC-0941,-815.0
391,Afatinib (BIBW-2992),Gefitinib,912.0
392,Afatinib (BIBW-2992),Gilteritinib (ASP-2215),-1018.0
393,Afatinib (BIBW-2992),Go6976,-785.0
394,Afatinib (BIBW-2992),GSK-1838705A,-1192.0
395,Afatinib (BIBW-2992),GSK-1904529A,-777.0
396,Afatinib (BIBW-2992),GSK690693,-982.0
397,Afatinib (BIBW-2992),GW-2580,-652.0
398,Afatinib (BIBW-2992),Ibrutinib (PCI-32765),-894.0
399,Afatinib (BIBW-2992),Idelalisib,-1304.0
400,Afatinib (BIBW-2992),Imatinib,-1102.0
401,Afatinib (BIBW-2992),INK-128,-1122.0
402,Afatinib (BIBW-2992),JAK Inhibitor I,-1223.0
403,Afatinib (BIBW-2992),JNJ-28312141,-1129.0
404,Afatinib (BIBW-2992),JNJ-38877605,-892.0
405,Afatinib (BIBW-2992),JNJ-7706621,-1365.0
406,Afatinib (BIBW-2992),JQ1,-443.0
407,Afatinib (BIBW-2992),KI20227,-431.0
408,Afatinib (BIBW-2992),KU-55933,-574.0
409,Afatinib (BIBW-2992),KW-2449,-1605.0
410,Afatinib (BIBW-2992),Lapatinib,638.0
411,Afatinib (BIBW-2992),Lenalidomide,-1147.0
412,Afatinib (BIBW-2992),Lenvatinib,-1256.0
413,Afatinib (BIBW-2992),Lestaurtinib (CEP-701),-687.0
414,Afatinib (BIBW-2992),Linifanib (ABT-869),-737.0
415,Afatinib (BIBW-2992),Lovastatin,-302.0
416,Afatinib (BIBW-2992),LY-333531,-1055.0
417,Afatinib (BIBW-2992),Masitinib (AB-1010),-1314.0
418,Afatinib (BIBW-2992),MGCD-265,-712.0
419,Afatinib (BIBW-2992),Midostaurin,-1295.0
420,Afatinib (BIBW-2992),MK-2206,-377.0
421,Afatinib (BIBW-2992),MLN120B,-984.0
422,Afatinib (BIBW-2992),MLN8054,-583.0
423,Afatinib (BIBW-2992),Motesanib (AMG-706),-516.0
424,Afatinib (BIBW-2992),Neratinib (HKI-272),1678.0
425,Afatinib (BIBW-2992),NF-kB Activation Inhibitor,-1238.0
426,Afatinib (BIBW-2992),Nilotinib,-314.0
427,Afatinib (BIBW-2992),Nutlin 3a,-967.0
428,Afatinib (BIBW-2992),NVP-ADW742,-1145.0
429,Afatinib (BIBW-2992),NVP-TAE684,-1130.0
430,Afatinib (BIBW-2992),Palbociclib,-983.0
431,Afatinib (BIBW-2992),Panobinostat,-348.0
432,Afatinib (BIBW-2992),Pazopanib (GW786034),-1247.0
433,Afatinib (BIBW-2992),PD173955,-660.0
434,Afatinib (BIBW-2992),Pelitinib (EKB-569),1022.0
435,Afatinib (BIBW-2992),PHA-665752,-1431.0
436,Afatinib (BIBW-2992),PHT-427,-1293.0
437,Afatinib (BIBW-2992),PI-103,-741.0
438,Afatinib (BIBW-2992),PLX-4720,-1297.0
439,Afatinib (BIBW-2992),Ponatinib (AP24534),-927.0
440,Afatinib (BIBW-2992),PP242,-1429.0
441,Afatinib (BIBW-2992),PRT062607,-747.0
442,Afatinib (BIBW-2992),Quizartinib (AC220),-532.0
443,Afatinib (BIBW-2992),RAF265 (CHIR-265),-900.0
444,Afatinib (BIBW-2992),Rapamycin,-312.0
445,Afatinib (BIBW-2992),Regorafenib (BAY 73-4506),-1031.0
446,Afatinib (BIBW-2992),Roscovitine (CYC-202),-934.0
447,Afatinib (BIBW-2992),Ruxolitinib (INCB018424),-377.0
448,Afatinib (BIBW-2992),S31-201,-914.0
449,Afatinib (BIBW-2992),Saracatinib (AZD0530),-1329.0
450,Afatinib (BIBW-2992),SB-431542,-459.0
451,Afatinib (BIBW-2992),Selinexor,-557.0
452,Afatinib (BIBW-2992),Selumetinib (AZD6244),-480.0
453,Afatinib (BIBW-2992),SGX-523,-1269.0
454,Afatinib (BIBW-2992),SNS-032 (BMS-387032),-73.0
455,Afatinib (BIBW-2992),Sorafenib,-836.0
456,Afatinib (BIBW-2992),SR9011,-476.0
457,Afatinib (BIBW-2992),Staurosporine,-460.0
458,Afatinib (BIBW-2992),STO609,-934.0
459,Afatinib (BIBW-2992),SU11274,-710.0
460,Afatinib (BIBW-2992),Sunitinib,-1064.0
461,Afatinib (BIBW-2992),Tandutinib (MLN518),-435.0
462,Afatinib (BIBW-2992),TG100-115,-1057.0
463,Afatinib (BIBW-2992),TG101348,-475.0
464,Afatinib (BIBW-2992),Tivozanib (AV-951),-1009.0
465,Afatinib (BIBW-2992),Tofacitinib (CP-690550),-402.0
466,Afatinib (BIBW-2992),Tozasertib (VX-680),-690.0
467,Afatinib (BIBW-2992),Trametinib (GSK1120212),-681.0
468,Afatinib (BIBW-2992),Vandetanib (ZD6474),1211.0
469,Afatinib (BIBW-2992),Vargetef,-1589.0
470,Afatinib (BIBW-2992),Vatalanib (PTK787),-974.0
471,Afatinib (BIBW-2992),Vemurafenib (PLX-4032),-1234.0
472,Afatinib (BIBW-2992),Venetoclax,-1204.0
473,Afatinib (BIBW-2992),Vismodegib (GDC-0449),-838.0
474,Afatinib (BIBW-2992),Volasertib (BI-6727),-875.0
475,Afatinib (BIBW-2992),VX-745,-1008.0
476,Afatinib (BIBW-2992),XAV-939,-235.0
477,Afatinib (BIBW-2992),YM-155,-337.0
478,Alisertib (MLN8237),AT7519,-1077.0
479,Alisertib (MLN8237),Axitinib (AG-013736),-1100.0
480,Alisertib (MLN8237),AZD1480,-666.0
481,Alisertib (MLN8237),Barasertib (AZD1152-HQPA),1742.0
482,Alisertib (MLN8237),Bay 11-7085,-1078.0
483,Alisertib (MLN8237),BEZ235,-925.0
484,Alisertib (MLN8237),BI-2536,-586.0
485,Alisertib (MLN8237),BMS-345541,-787.0
486,Alisertib (MLN8237),Bortezomib (Velcade),-470.0
487,Alisertib (MLN8237),Bosutinib (SKI-606),-866.0
488,Alisertib (MLN8237),Cabozantinib,-895.0
489,Alisertib (MLN8237),Canertinib (CI-1033),-868.0
490,Alisertib (MLN8237),Cediranib (AZD2171),-927.0
491,Alisertib (MLN8237),CHIR-99021,-674.0
492,Alisertib (MLN8237),CI-1040 (PD184352),-670.0
493,Alisertib (MLN8237),Crenolanib,-900.0
494,Alisertib (MLN8237),Crizotinib (PF-2341066),-1461.0
495,Alisertib (MLN8237),CYT387,-1467.0
496,Alisertib (MLN8237),Dasatinib,-1019.0
497,Alisertib (MLN8237),DBZ,-1070.0
498,Alisertib (MLN8237),Doramapimod (BIRB 796),-1373.0
499,Alisertib (MLN8237),Dovitinib (CHIR-258),-1014.0
500,Alisertib (MLN8237),Elesclomol,-670.0
501,Alisertib (MLN8237),Entospletinib (GS-9973),-1078.0
502,Alisertib (MLN8237),Entrectinib,-303.0
503,Alisertib (MLN8237),Erlotinib,-1587.0
504,Alisertib (MLN8237),Flavopiridol,-1309.0
505,Alisertib (MLN8237),Foretinib (XL880),-892.0
506,Alisertib (MLN8237),GDC-0879,-833.0
507,Alisertib (MLN8237),GDC-0941,-1718.0
508,Alisertib (MLN8237),Gefitinib,-915.0
509,Alisertib (MLN8237),Gilteritinib (ASP-2215),-852.0
510,Alisertib (MLN8237),Go6976,-1340.0
511,Alisertib (MLN8237),GSK-1838705A,-1211.0
512,Alisertib (MLN8237),GSK-1904529A,-970.0
513,Alisertib (MLN8237),GSK690693,-1039.0
514,Alisertib (MLN8237),GW-2580,-1141.0
515,Alisertib (MLN8237),Ibrutinib (PCI-32765),-1174.0
516,Alisertib (MLN8237),Idelalisib,-966.0
517,Alisertib (MLN8237),Imatinib,-964.0
518,Alisertib (MLN8237),INK-128,-729.0
519,Alisertib (MLN8237),JAK Inhibitor I,-1607.0
520,Alisertib (MLN8237),JNJ-28312141,-795.0
521,Alisertib (MLN8237),JNJ-38877605,-804.0
522,Alisertib (MLN8237),JNJ-7706621,1738.0
523,Alisertib (MLN8237),JQ1,-772.0
524,Alisertib (MLN8237),KI20227,-714.0
525,Alisertib (MLN8237),KU-55933,-567.0
526,Alisertib (MLN8237),KW-2449,1608.0
527,Alisertib (MLN8237),Lapatinib,-911.0
528,Alisertib (MLN8237),Lenalidomide,-1151.0
529,Alisertib (MLN8237),Lenvatinib,-1428.0
530,Alisertib (MLN8237),Lestaurtinib (CEP-701),-699.0
